roi	trace_policy	run_dir	framework_head	core_head	run_manifest_sha256	telemetry_schema	scope	semantic_kernel_index	trace_filename	kernel_name	request_class	outcome	count
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_UNKNOWN	HIT	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_UNKNOWN	HIT_RESERVED	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_UNKNOWN	MISS	1890
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_UNKNOWN	RESERVATION_FAIL	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_UNKNOWN	SECTOR_MISS	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_UNKNOWN	MSHR_HIT	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_WEIGHT	HIT	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_WEIGHT	HIT_RESERVED	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_WEIGHT	MISS	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_WEIGHT	RESERVATION_FAIL	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_WEIGHT	SECTOR_MISS	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_WEIGHT	MSHR_HIT	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_KV_CACHE	HIT	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_KV_CACHE	HIT_RESERVED	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_KV_CACHE	MISS	630
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_KV_CACHE	RESERVATION_FAIL	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_KV_CACHE	SECTOR_MISS	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	DATA_KV_CACHE	MSHR_HIT	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L0	HIT	12
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L0	HIT_RESERVED	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L0	MISS	5
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L0	RESERVATION_FAIL	263
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L0	SECTOR_MISS	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L0	MSHR_HIT	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L1	HIT	12
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L1	HIT_RESERVED	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L1	MISS	5
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L1	RESERVATION_FAIL	273
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L1	SECTOR_MISS	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L1	MSHR_HIT	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L2	HIT	12
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L2	HIT_RESERVED	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L2	MISS	5
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L2	RESERVATION_FAIL	273
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L2	SECTOR_MISS	0
Q05_PREFILL_ATTN_FLASH	FULL_RANK0	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1/outputs/replay-7	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	3cb27c1562e017c13cc9bfa26bb33902e754d8a681230c090546300e46872ad9	M4C_MEMORY_TELEMETRY_V1	KERNEL	0	kernel-34-ctx_0x5dd0a1addd30.traceg.xz	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	PTE_L2	MSHR_HIT	0
