block_dataport_blocked,block_dataport_eligible,block_dataport_episodes,block_dataport_ratio,block_dataport_requests,block_missq_blocked,block_missq_eligible,block_missq_episodes,block_missq_ratio,block_missq_requests,block_mshr_merge_blocked,block_mshr_merge_eligible,block_mshr_merge_episodes,block_mshr_merge_ratio,block_mshr_merge_requests,block_mshr_new_blocked,block_mshr_new_eligible,block_mshr_new_episodes,block_mshr_new_ratio,block_mshr_new_requests,block_mshr_rw_pending_blocked,block_mshr_rw_pending_eligible,block_mshr_rw_pending_episodes,block_mshr_rw_pending_ratio,block_mshr_rw_pending_requests,block_respq_blocked,block_respq_eligible,block_respq_episodes,block_respq_ratio,block_respq_requests,block_set_blocked,block_set_eligible,block_set_episodes,block_set_ratio,block_set_requests,cycles,cycles_any_set_all_reserved,data_accept_dirty,data_accept_hit,data_accept_other,data_busy_ratio,dirty_avg,dirty_cap,dirty_full_ratio,dirty_max,dirty_p50,dirty_p95,dirty_util_avg,dram_issue_credit,dram_issue_eligible,dram_issue_returnq,dram_issue_scheduler,dram_read_credit,dram_read_returnq,dram_read_scheduler,dram_return_blocked,dram_return_eligible,dram_return_episodes,dram_return_ratio,dram_return_requests,dram_wb_credit,dram_wb_scheduler,draml2q_avg,draml2q_cap,draml2q_full_ratio,draml2q_max,draml2q_p50,draml2q_p95,draml2q_util_avg,fill_blocked,fill_busy_ratio,fill_eligible,fill_episodes,fill_ratio,fill_requests,icntl2q_avg,icntl2q_cap,icntl2q_full_ratio,icntl2q_max,icntl2q_p50,icntl2q_p95,icntl2q_util_avg,l2dram_bytes,l2dram_requests,l2dram_wb_bytes,l2dram_wb_requests,l2dramq_avg,l2dramq_cap,l2dramq_full_ratio,l2dramq_max,l2dramq_p50,l2dramq_p95,l2dramq_util_avg,l2icntq_avg,l2icntq_cap,l2icntq_full_ratio,l2icntq_max,l2icntq_p50,l2icntq_p95,l2icntq_util_avg,lower_drain_blocked,lower_drain_eligible,lower_drain_episodes,lower_drain_ratio,lower_drain_requests,max_reserved_ways_any_set,merge_depth_avg,merge_depth_cap,merge_depth_full_ratio,merge_depth_max,merge_depth_p50,merge_depth_p95,merge_depth_util_avg,merge_limit_entries_avg,merge_limit_entries_cap,merge_limit_entries_full_ratio,merge_limit_entries_max,merge_limit_entries_p50,merge_limit_entries_p95,merge_limit_entries_util_avg,missq_avg,missq_cap,missq_demand_avg,missq_demand_cap,missq_demand_full_ratio,missq_demand_max,missq_demand_p50,missq_demand_p95,missq_demand_util_avg,missq_full_ratio,missq_max,missq_other_avg,missq_other_cap,missq_other_full_ratio,missq_other_max,missq_other_p50,missq_other_p95,missq_other_util_avg,missq_p50,missq_p95,missq_util_avg,missq_wb_avg,missq_wb_cap,missq_wb_full_ratio,missq_wb_max,missq_wb_p50,missq_wb_p95,missq_wb_util_avg,mshr_avg,mshr_cap,mshr_full_ratio,mshr_lifetime_drain_avg,mshr_lifetime_drain_cap,mshr_lifetime_drain_full_ratio,mshr_lifetime_drain_max,mshr_lifetime_drain_p50,mshr_lifetime_drain_p95,mshr_lifetime_drain_util_avg,mshr_lifetime_pending_avg,mshr_lifetime_pending_cap,mshr_lifetime_pending_full_ratio,mshr_lifetime_pending_max,mshr_lifetime_pending_p50,mshr_lifetime_pending_p95,mshr_lifetime_pending_util_avg,mshr_lifetime_total_avg,mshr_lifetime_total_cap,mshr_lifetime_total_full_ratio,mshr_lifetime_total_max,mshr_lifetime_total_p50,mshr_lifetime_total_p95,mshr_lifetime_total_util_avg,mshr_max,mshr_p50,mshr_p95,mshr_ready_avg,mshr_ready_cap,mshr_ready_full_ratio,mshr_ready_max,mshr_ready_p50,mshr_ready_p95,mshr_ready_util_avg,mshr_response_blocked,mshr_response_eligible,mshr_response_episodes,mshr_response_ratio,mshr_response_requests,mshr_target_avg,mshr_target_cap,mshr_target_full_ratio,mshr_target_max,mshr_target_p50,mshr_target_p95,mshr_target_util_avg,mshr_util_avg,reserved_avg,reserved_cap,reserved_full_ratio,reserved_max,reserved_p50,reserved_p95,reserved_util_avg,rop_avg,rop_cap,rop_full_ratio,rop_input_blocked,rop_input_eligible,rop_input_episodes,rop_input_ratio,rop_input_requests,rop_max,rop_p50,rop_p95,rop_util_avg,schema_version,set_reserved_avg,set_reserved_cap,set_reserved_fraction_0,set_reserved_fraction_1plus,set_reserved_fraction_all,set_reserved_fraction_half_or_more,set_reserved_full_ratio,set_reserved_max,set_reserved_p50,set_reserved_p95,set_reserved_util_avg,sets_all_ways_reserved_avg,sets_all_ways_reserved_max,slice,valid_avg,valid_cap,valid_full_ratio,valid_max,valid_p50,valid_p95,valid_util_avg,wb_bytes,wb_requests
0,31922,0,0.0,0,2587,4635,1560,0.558145,1560,0,0,0,0.0,0,0,4635,0,0.0,0,0,0,0,0.0,0,178,31922,121,0.005576,121,0,4635,0,0.0,0,171722,0,0,31744,0,0.0,405.249671,768,0.0,512,512,512,0.527669,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.690867,64,0.015432,64,0,1,0.02642,65536,2048,0,0,1.899343,64,0.027405,64,0,0,0.029677,0.349117,64,0.001037,64,0,0,0.005455,2931,4979,0,0.588672,0,5,0.033834,4,0.0,1,0,0,0.008458,0.0,192,0.0,0,0,0,0.0,0.825351,32,0.825351,32,0.015222,32,0,0,0.025792,0.015222,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025792,0.0,32,0.0,0,0,0,0.0,4.560202,192,0.0,1.0,0,0.0,1,1,1,0.0,381.366699,0,0.0,882,387,481,0.0,382.366699,0,0.0,883,388,482,0.0,162,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.560202,768,0.0,162,0,0,0.005938,0.023751,1.701279,768,0.0,69,0,0,0.002215,32.287179,0,0.0,1500,35292,0,0.042503,0,161,0,119,0.0,L2CHARV1,0.053165,24,0.971418,0.0285822,0,0,0.0,5,0,0,0.002215,0,0,0,668.105257,768,0.638194,768,768,768,0.869929,0,0
0,31941,0,0.0,0,2607,4655,1575,0.560043,1575,0,0,0,0.0,0,0,4655,0,0.0,0,0,0,0,0.0,0,197,31941,142,0.006168,142,0,4655,0,0.0,0,171722,0,0,31744,0,0.0,405.290248,768,0.0,512,512,512,0.527722,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.687862,64,0.015362,64,0,1,0.026373,65536,2048,0,0,1.88864,64,0.027119,64,0,0,0.02951,0.345227,64,0.001147,64,0,0,0.005394,2901,4949,0,0.586179,0,5,0.033892,4,0.0,1,0,0,0.008473,0.0,192,0.0,0,0,0,0.0,0.821852,32,0.821852,32,0.015403,32,0,0,0.025683,0.015403,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025683,0.0,32,0.0,0,0,0,0.0,4.574038,192,0.0,1.0,0,0.0,1,1,1,0.0,382.526855,0,0.0,1107,388,483,0.0,383.526855,0,0.0,1108,389,484,0.0,164,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.574038,768,0.0,164,0,0,0.005956,0.023823,1.689521,768,0.0,66,0,0,0.0022,32.293107,0,0.0,1502,35294,0,0.042557,0,161,0,120,0.0,L2CHARV1,0.052798,24,0.971535,0.0284648,0,0,0.0,5,0,0,0.0022,0,0,1,667.388704,768,0.638031,768,768,768,0.868996,0,0
0,31770,0,0.0,0,2592,4640,1562,0.558621,1562,0,0,0,0.0,0,0,4640,0,0.0,0,0,0,0,0.0,0,26,31770,19,0.000818,19,0,4640,0,0.0,0,171722,0,0,31744,0,0.0,405.320314,768,0.0,512,512,512,0.527761,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.508776,64,0.013697,64,0,1,0.023575,65536,2048,0,0,1.871356,64,0.027166,64,0,0,0.02924,0.500489,64,0.000151,64,0,0,0.00782,2908,4956,0,0.586764,0,5,0.033845,4,0.0,1,0,0,0.008461,0.0,192,0.0,0,0,0,0.0,0.817344,32,0.817344,32,0.015263,32,0,0,0.025542,0.015263,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025542,0.0,32,0.0,0,0,0,0.0,4.577742,192,0.0,1.0,0,0.0,1,1,1,0.0,382.837402,0,0.0,976,388,490,0.0,383.837402,0,0.0,977,389,491,0.0,163,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.577742,768,0.0,163,0,0,0.005961,0.023842,1.676279,768,0.0,69,0,0,0.002183,32.228538,0,0.0,1370,35162,0,0.038963,0,161,0,118,0.0,L2CHARV1,0.052384,24,0.972051,0.0279491,0,0,0.0,5,0,0,0.002183,0,0,2,668.094915,768,0.638008,768,768,768,0.869915,0,0
0,31930,0,0.0,0,2578,4626,1552,0.557285,1552,0,0,0,0.0,0,0,4626,0,0.0,0,0,0,0,0.0,0,186,31930,135,0.005825,135,0,4626,0,0.0,0,171722,0,0,31744,0,0.0,405.281699,768,0.0,512,512,512,0.527711,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.680076,64,0.015642,64,0,1,0.026251,65536,2048,0,0,1.869801,64,0.027073,64,0,0,0.029216,0.348004,64,0.001083,64,0,0,0.005438,2899,4947,0,0.586012,0,6,0.033776,4,0.0,1,0,0,0.008444,0.0,192,0.0,0,0,0,0.0,0.81597,32,0.81597,32,0.015123,32,0,0,0.025499,0.015123,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025499,0.0,32,0.0,0,0,0,0.0,4.579239,192,0.0,1.0,0,0.0,1,1,1,0.0,382.962891,0,0.0,864,389,486,0.0,383.962891,0,0.0,865,390,487,0.0,163,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.579239,768,0.0,163,0,0,0.005963,0.02385,1.679843,768,0.0,67,0,0,0.002187,32.313559,0,0.0,1532,35324,0,0.04337,0,161,0,119,0.0,L2CHARV1,0.052495,24,0.971622,0.028378,0,0,0.0,6,0,0,0.002187,0,0,3,667.397037,768,0.638229,768,768,768,0.869007,0,0
0,31847,0,0.0,0,2626,4674,1584,0.561831,1584,0,0,0,0.0,0,0,4674,0,0.0,0,0,0,0,0.0,0,103,31847,73,0.003234,73,0,4674,0,0.0,0,171722,0,0,31744,0,0.0,405.350759,768,0.0,512,512,512,0.5278,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.602025,64,0.015158,64,0,1,0.025032,65536,2048,0,0,1.878554,64,0.027079,64,0,0,0.029352,0.427755,64,0.0006,64,0,0,0.006684,2896,4944,0,0.585761,0,5,0.033915,4,0.0,1,0,0,0.008479,0.0,192,0.0,0,0,0,0.0,0.818655,32,0.818655,32,0.015479,32,0,0,0.025583,0.015479,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025583,0.0,32,0.0,0,0,0,0.0,4.5743,192,0.0,1.0,0,0.0,1,1,1,0.0,382.548828,0,0.0,704,390,480,0.0,383.548828,0,0.0,705,391,481,0.0,162,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.5743,768,0.0,162,0,0,0.005956,0.023824,1.676262,768,0.0,65,0,0,0.002183,32.260561,0,0.0,1446,35238,0,0.041035,0,161,0,120,0.0,L2CHARV1,0.052383,24,0.971527,0.0284732,0,0,0.0,5,0,0,0.002183,0,0,4,668.120398,768,0.638287,768,768,768,0.869948,0,0
0,31937,0,0.0,0,2613,4661,1575,0.560609,1575,0,0,0,0.0,0,0,4661,0,0.0,0,0,0,0,0.0,0,193,31937,131,0.006043,131,0,4661,0,0.0,0,171722,0,0,31744,0,0.0,405.259856,768,0.0,512,512,512,0.527682,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.691868,64,0.015799,64,0,1,0.026435,65536,2048,0,0,1.872002,64,0.027096,64,0,0,0.02925,0.356495,64,0.001124,64,0,0,0.00557,2899,4947,0,0.586012,0,5,0.033898,4,0.0,1,0,0,0.008474,0.0,192,0.0,0,0,0,0.0,0.824111,32,0.824111,32,0.015397,32,0,0,0.025753,0.015397,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025753,0.0,32,0.0,0,0,0,0.0,4.562613,192,0.0,1.0,0,0.0,1,1,1,0.0,381.568848,0,0.0,679,389,479,0.0,382.568848,0,0.0,680,390,480,0.0,161,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.562613,768,0.0,161,0,0,0.005941,0.023764,1.663561,768,0.0,64,0,0,0.002166,32.322591,0,0.0,1544,35336,0,0.043695,0,161,0,120,0.0,L2CHARV1,0.051986,24,0.971623,0.0283774,0,0,0.0,5,0,0,0.002166,0,0,5,667.388785,768,0.638218,768,768,768,0.868996,0,0
0,31932,0,0.0,0,2608,4656,1572,0.560137,1572,0,0,0,0.0,0,0,4656,0,0.0,0,0,0,0,0.0,0,188,31932,139,0.005888,139,0,4656,0,0.0,0,171722,0,0,31744,0,0.0,405.289683,768,0.0,512,512,512,0.527721,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.704412,64,0.015595,64,0,1,0.026631,65536,2048,0,0,1.862574,64,0.026869,64,0,0,0.029103,0.331419,64,0.001095,64,0,0,0.005178,2875,4923,0,0.583993,0,5,0.033776,4,0.0,1,0,0,0.008444,0.0,192,0.0,0,0,0,0.0,0.813134,32,0.813134,32,0.015321,32,0,0,0.02541,0.015321,32,0.0,32,0.0,0,0,0,0.0,0,0,0.02541,0.0,32,0.0,0,0,0,0.0,4.517121,192,0.0,1.0,0,0.0,1,1,1,0.0,377.754395,0,0.0,955,387,481,0.0,378.754395,0,0.0,956,388,482,0.0,162,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.517121,768,0.0,162,0,0,0.005882,0.023527,1.647826,768,0.0,64,0,0,0.002146,32.297318,0,0.0,1520,35312,0,0.043045,0,161,0,118,0.0,L2CHARV1,0.051495,24,0.972031,0.0279687,0,0,0.0,5,0,0,0.002146,0,0,6,668.130286,768,0.638148,768,768,768,0.869961,0,0
0,31927,0,0.0,0,2586,4634,1556,0.558049,1556,0,0,0,0.0,0,0,4634,0,0.0,0,0,0,0,0.0,0,183,31927,130,0.005732,130,0,4634,0,0.0,0,171722,0,0,31744,0,0.0,405.286387,768,0.0,512,512,512,0.527717,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.652211,64,0.015548,64,0,1,0.025816,65536,2048,0,0,1.851236,64,0.026758,64,0,0,0.028926,0.376329,64,0.001066,64,0,0,0.00588,2865,4913,0,0.583147,0,5,0.033729,4,0.0,1,0,0,0.008432,0.0,192,0.0,0,0,0,0.0,0.810601,32,0.810601,32,0.015176,32,0,0,0.025331,0.015176,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025331,0.0,32,0.0,0,0,0,0.0,4.502096,192,0.0,1.0,0,0.0,1,1,1,0.0,376.494629,0,0.0,947,387,482,0.0,377.494629,0,0.0,948,388,483,0.0,160,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.502096,768,0.0,160,0,0,0.005862,0.023448,1.654482,768,0.0,67,0,0,0.002154,32.304725,0,0.0,1495,35287,0,0.042367,0,161,0,120,0.0,L2CHARV1,0.051703,24,0.972038,0.0279618,0,0,0.0,5,0,0,0.002154,0,0,7,667.406762,768,0.638101,768,768,768,0.869019,0,0
0,31934,0,0.0,0,2596,4644,1562,0.559001,1562,0,0,0,0.0,0,0,4644,0,0.0,0,0,0,0,0.0,0,190,31934,138,0.00595,138,0,4644,0,0.0,0,171722,0,0,31744,0,0.0,405.26169,768,0.0,512,512,512,0.527684,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.69591,64,0.015426,64,0,1,0.026499,65536,2048,0,0,1.890113,64,0.027067,64,0,0,0.029533,0.34267,64,0.001106,64,0,0,0.005354,2898,4946,0,0.585928,0,5,0.033851,4,0.0,1,0,0,0.008463,0.0,192,0.0,0,0,0,0.0,0.813,32,0.813,32,0.015228,32,0,0,0.025406,0.015228,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025406,0.0,32,0.0,0,0,0,0.0,4.550995,192,0.0,1.0,0,0.0,1,1,1,0.0,380.594727,0,0.0,679,388,477,0.0,381.594727,0,0.0,680,389,478,0.0,162,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.550995,768,0.0,162,0,0,0.005926,0.023703,1.677601,768,0.0,65,0,0,0.002184,32.291791,0,0.0,1514,35306,0,0.042882,0,161,0,119,0.0,L2CHARV1,0.052425,24,0.971292,0.0287083,0,0,0.0,5,0,0,0.002184,0,0,8,668.104687,768,0.637996,768,768,768,0.869928,0,0
0,31930,0,0.0,0,2606,4654,1570,0.559948,1570,0,0,0,0.0,0,0,4654,0,0.0,0,0,0,0,0.0,0,186,31930,138,0.005825,138,0,4654,0,0.0,0,171722,0,0,31744,0,0.0,405.292176,768,0.0,512,512,512,0.527724,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.662501,64,0.015059,64,0,1,0.025977,65536,2048,0,0,1.878612,64,0.026881,64,0,0,0.029353,0.346479,64,0.001083,64,0,0,0.005414,2877,4925,0,0.584162,0,5,0.033968,4,0.0,1,0,0,0.008492,0.0,192,0.0,0,0,0,0.0,0.811771,32,0.811771,32,0.015281,32,0,0,0.025368,0.015281,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025368,0.0,32,0.0,0,0,0,0.0,4.573002,192,0.0,1.0,0,0.0,1,1,1,0.0,382.439941,0,0.0,966,390,479,0.0,383.439941,0,0.0,967,391,480,0.0,163,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.573002,768,0.0,163,0,0,0.005954,0.023818,1.674742,768,0.0,66,0,0,0.002181,32.26798,0,0.0,1459,35251,0,0.041389,0,161,0,119,0.0,L2CHARV1,0.052336,24,0.971472,0.0285283,0,0,0.0,5,0,0,0.002181,0,0,9,667.40728,768,0.638113,768,768,768,0.86902,0,0
0,31854,0,0.0,0,2573,4621,1551,0.556806,1551,0,0,0,0.0,0,0,4621,0,0.0,0,0,0,0,0.0,0,110,31854,75,0.003453,75,0,4621,0,0.0,0,171722,0,0,31744,0,0.0,405.325538,768,0.0,512,512,512,0.527768,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.600069,64,0.015042,64,0,1,0.025001,65536,2048,0,0,1.871251,64,0.027172,64,0,0,0.029238,0.433165,64,0.000646,64,0,0,0.006768,2907,4955,0,0.58668,0,5,0.034055,4,0.0,1,0,0,0.008514,0.0,192,0.0,0,0,0,0.0,0.815673,32,0.815673,32,0.015129,32,0,0,0.02549,0.015129,32,0.0,32,0.0,0,0,0,0.0,0,0,0.02549,0.0,32,0.0,0,0,0,0.0,4.523392,192,0.0,1.0,0,0.0,1,1,1,0.0,378.280273,0,0.0,940,388,476,0.0,379.280273,0,0.0,941,389,477,0.0,160,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.523392,768,0.0,160,0,0,0.00589,0.023559,1.67929,768,0.0,69,0,0,0.002187,32.261859,0,0.0,1436,35228,0,0.040763,0,161,0,120,0.0,L2CHARV1,0.052478,24,0.971772,0.0282277,0,0,0.0,5,0,0,0.002187,0,0,10,668.115833,768,0.638183,768,768,768,0.869942,0,0
0,31930,0,0.0,0,2580,4628,1555,0.557476,1555,0,0,0,0.0,0,0,4628,0,0.0,0,0,0,0,0.0,0,186,31930,133,0.005825,133,0,4628,0,0.0,0,171722,0,0,31744,0,0.0,405.285508,768,0.0,512,512,512,0.527716,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.690488,64,0.015735,64,0,1,0.026414,65536,2048,0,0,1.87386,64,0.027073,64,0,0,0.029279,0.33959,64,0.001083,64,0,0,0.005306,2898,4946,0,0.585928,0,5,0.033822,4,0.0,1,0,0,0.008456,0.0,192,0.0,0,0,0,0.0,0.815388,32,0.815388,32,0.015193,32,0,0,0.025481,0.015193,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025481,0.0,32,0.0,0,0,0,0.0,4.509958,192,0.0,1.0,0,0.0,1,1,1,0.0,377.153809,0,0.0,691,387,477,0.0,378.153809,0,0.0,692,388,478,0.0,159,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.509958,768,0.0,159,0,0,0.005872,0.023489,1.666898,768,0.0,68,0,0,0.00217,32.316797,0,0.0,1540,35332,0,0.043587,0,161,0,119,0.0,L2CHARV1,0.052091,24,0.971736,0.0282641,0,0,0.0,5,0,0,0.00217,0,0,11,667.37881,768,0.638031,768,768,768,0.868983,0,0
0,31859,0,0.0,0,2625,4673,1580,0.561738,1580,0,0,0,0.0,0,0,4673,0,0.0,0,0,0,0,0.0,0,115,31859,80,0.00361,80,0,4673,0,0.0,0,171722,0,0,31744,0,0.0,405.342274,768,0.0,512,512,512,0.527789,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.590711,64,0.015141,64,0,1,0.024855,65536,2048,0,0,1.875281,64,0.027201,64,0,0,0.029301,0.481255,64,0.000676,64,0,0,0.00752,2912,4960,0,0.587097,0,5,0.033909,4,0.0,1,0,0,0.008477,0.0,192,0.0,0,0,0,0.0,0.824099,32,0.824099,32,0.015432,32,0,0,0.025753,0.015432,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025753,0.0,32,0.0,0,0,0,0.0,4.59958,192,0.0,1.0,0,0.0,1,1,1,0.0,384.668457,0,0.0,1144,389,501,0.0,385.668457,0,0.0,1145,390,502,0.0,163,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.59958,768,0.0,163,0,0,0.005989,0.023956,1.67784,768,0.0,65,0,0,0.002185,32.272877,0,0.0,1437,35229,0,0.04079,0,161,0,120,0.0,L2CHARV1,0.052432,24,0.97133,0.0286704,0,0,0.0,5,0,0,0.002185,0,0,12,668.120718,768,0.638334,768,768,768,0.869949,0,0
0,31858,0,0.0,0,2638,4686,1589,0.562953,1589,0,0,0,0.0,0,0,4686,0,0.0,0,0,0,0,0.0,0,114,31858,82,0.003578,82,0,4686,0,0.0,0,171722,0,0,31744,0,0.0,405.319546,768,0.0,512,512,512,0.52776,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.612624,64,0.01524,64,0,1,0.025197,65536,2048,0,0,1.873907,64,0.027119,64,0,0,0.02928,0.450449,64,0.00067,64,0,0,0.007038,2903,4951,0,0.586346,0,5,0.033939,4,0.0,1,0,0,0.008485,0.0,192,0.0,0,0,0,0.0,0.821415,32,0.821415,32,0.015461,32,0,0,0.025669,0.015461,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025669,0.0,32,0.0,0,0,0,0.0,4.596627,192,0.0,1.0,0,0.0,1,1,1,0.0,384.420898,0,0.0,871,389,497,0.0,385.420898,0,0.0,872,390,498,0.0,162,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.596627,768,0.0,162,0,0,0.005985,0.023941,1.684508,768,0.0,66,0,0,0.002193,32.273943,0,0.0,1450,35242,0,0.041144,0,161,0,119,0.0,L2CHARV1,0.052641,24,0.971132,0.0288679,0,0,0.0,5,0,0,0.002193,0,0,13,667.395907,768,0.638154,768,768,768,0.869005,0,0
0,31938,0,0.0,0,2586,4634,1560,0.558049,1560,0,0,0,0.0,0,0,4634,0,0.0,0,0,0,0,0.0,0,194,31938,145,0.006074,145,0,4634,0,0.0,0,171722,0,0,31744,0,0.0,405.32545,768,0.0,512,512,512,0.527768,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.652712,64,0.015595,64,0,1,0.025824,65536,2048,0,0,1.862143,64,0.026974,64,0,0,0.029096,0.376486,64,0.00113,64,0,0,0.005883,2888,4936,0,0.585089,0,5,0.033898,4,0.0,1,0,0,0.008474,0.0,192,0.0,0,0,0,0.0,0.816156,32,0.816156,32,0.015222,32,0,0,0.025505,0.015222,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025505,0.0,32,0.0,0,0,0,0.0,4.578039,192,0.0,1.0,0,0.0,1,1,1,0.0,382.862305,0,0.0,770,388,501,0.0,383.862305,0,0.0,771,389,502,0.0,167,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.578039,768,0.0,167,0,0,0.005961,0.023844,1.666764,768,0.0,68,0,0,0.00217,32.314386,0,0.0,1508,35300,0,0.04272,0,161,0,119,0.0,L2CHARV1,0.052086,24,0.971835,0.0281651,0,0,0.0,5,0,0,0.00217,0,0,14,668.126687,768,0.638253,768,768,768,0.869957,0,0
0,31931,0,0.0,0,2574,4622,1551,0.556902,1551,0,0,0,0.0,0,0,4622,0,0.0,0,0,0,0,0.0,0,187,31931,133,0.005856,133,0,4622,0,0.0,0,171722,0,0,31744,0,0.0,405.338687,768,0.0,512,512,512,0.527785,0,2048,0,0,0,0,0,0,2048,0,0.0,0,0,0,0.0,64,0.0,0,0,0,0.0,0,0.0,2048,0,0.0,0,1.647063,64,0.015607,64,0,1,0.025735,65536,2048,0,0,1.866132,64,0.026881,64,0,0,0.029158,0.385414,64,0.001089,64,0,0,0.006022,2875,4923,0,0.583993,0,5,0.03384,4,0.0,1,0,0,0.00846,0.0,192,0.0,0,0,0,0.0,0.810636,32,0.810636,32,0.015094,32,0,0,0.025332,0.015094,32,0.0,32,0.0,0,0,0,0.0,0,0,0.025332,0.0,32,0.0,0,0,0,0.0,4.566072,192,0.0,1.0,0,0.0,1,1,1,0.0,381.858887,0,0.0,902,388,490,0.0,382.858887,0,0.0,903,389,491,0.0,166,0,0,0.011926,192,0.0,1,0,0,6.2e-05,0,2048,0,0.0,0,4.566072,768,0.0,166,0,0,0.005945,0.023782,1.657522,768,0.0,65,0,0,0.002158,32.31774,0,0.0,1502,35294,0,0.042557,0,161,0,119,0.0,L2CHARV1,0.051798,24,0.971559,0.0284406,0,0,0.0,5,0,0,0.002158,0,0,15,667.414379,768,0.638183,768,768,768,0.869029,0,0
