profile_id	kernel_index	nvtx_range_evidence	kernel_name	grid_size	block_size	profiler_replayer_passes	metric_name	unit	value
TEXT_down_proj_M1_AWQ_SPARSE_PAGE_PRESSURE	0	"1232971  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_SPARSE_PAGE_PRESSURE:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	dram__bytes.sum	byte	3372672.0
TEXT_down_proj_M1_AWQ_SPARSE_PAGE_PRESSURE	1	"1232971  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_SPARSE_PAGE_PRESSURE:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	l1tex__t_bytes.sum	byte	86016.0
TEXT_down_proj_M1_AWQ_SPARSE_PAGE_PRESSURE	1	"1232971  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_SPARSE_PAGE_PRESSURE:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	lts__t_bytes.sum	byte	599584.0
TEXT_down_proj_M1_AWQ_SPARSE_PAGE_PRESSURE	1	"1232971  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_SPARSE_PAGE_PRESSURE:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	dram__bytes.sum	byte	88960.0
TEXT_down_proj_M1_AWQ_WARM	0	"1232899  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_WARM:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	l1tex__t_bytes.sum	byte	45846528.0
TEXT_down_proj_M1_AWQ_WARM	0	"1232899  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_WARM:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	lts__t_bytes.sum	byte	40608320.0
TEXT_down_proj_M1_AWQ_WARM	0	"1232899  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_WARM:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	dram__bytes.sum	byte	57856.0
TEXT_down_proj_M1_AWQ_WARM	1	"1232899  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_WARM:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	l1tex__t_bytes.sum	byte	86016.0
TEXT_down_proj_M1_AWQ_WARM	1	"1232899  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_WARM:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	lts__t_bytes.sum	byte	600192.0
TEXT_down_proj_M1_AWQ_WARM	1	"1232899  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_WARM:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	dram__bytes.sum	byte	0.0
